date,model_family,messages,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cost_usd
2026-06-01,opus,272,382,101687,420454,25314689,17.8293
2026-06-02,haiku,139,5038,15320,447936,12964280,1.9380
2026-06-02,opus,2202,1331301,1980368,16105850,381809107,347.7318
2026-06-02,other,316,1403361,147477,0,24181760,0.0000
2026-06-03,opus,368,377316,264013,1470656,56538048,45.9475
2026-06-03,other,79,123360,62651,0,13892352,0.0000
2026-06-04,opus,384,266787,362369,2531955,42822120,47.6289
2026-06-04,other,4,0,0,0,0,0.0000
2026-06-05,haiku,96,133,7692,247644,5281225,0.8763
2026-06-05,opus,576,302759,442986,4163410,71238528,74.2290
2026-06-05,other,3,0,0,0,0,0.0000
2026-06-06,haiku,51,141,10321,243510,1867847,0.5429
2026-06-06,opus,1463,900253,1191711,7604251,181079082,172.3601
2026-06-06,other,233,1052563,91570,0,25105536,0.0000
2026-06-07,haiku,30,843,3439,84246,1612672,0.2846
2026-06-07,opus,411,338904,290721,1843228,35805582,38.3855
2026-06-07,other,17,612475,5901,0,399488,0.0000
2026-06-08,other,374,2356063,193643,0,35851520,0.0000
2026-06-09,opus,156,142327,202575,1236550,16565161,21.7870
2026-06-09,other,7,0,0,0,0,0.0000
2026-06-09,sonnet,77,118,43411,273766,5886143,3.4440
2026-06-10,opus,254,300978,406372,1857332,35141685,40.8434
2026-06-10,other,10,186114,252,0,0,0.0000
2026-06-11,opus,578,436079,831589,4008391,86373295,91.2092
2026-06-11,other,3,0,0,0,0,0.0000
2026-06-12,opus,503,304750,912143,6730723,167123474,149.9561
2026-06-12,other,6,0,0,0,0,0.0000
2026-06-12,sonnet,35,36,5148,41732,988705,0.5304
2026-06-13,opus,284,240445,384091,2617016,35156586,44.7391
2026-06-13,other,2,0,0,0,0,0.0000
2026-06-14,opus,140,259220,197610,2072501,14877379,26.6282
2026-06-14,other,2,0,0,0,0,0.0000
2026-06-15,opus,246,217566,341875,2459591,29008248,39.5113
2026-06-15,other,2,0,0,0,0,0.0000
2026-06-16,opus,256,325714,471331,2859422,30927834,46.7471
2026-06-16,other,86,299590,47700,0,9229568,0.0000
2026-06-17,opus,138,235473,240654,2383514,17738321,30.9598
2026-06-17,other,42,361822,18971,0,2195840,0.0000
2026-06-18,opus,214,352857,234046,2907416,22064549,36.8191
2026-06-18,other,2,0,0,0,0,0.0000
2026-06-19,haiku,26,25,4028,73217,1118054,0.2235
2026-06-19,opus,512,344302,732473,5696932,120123990,115.7012
2026-06-19,other,74,215400,47104,0,10534272,0.0000
2026-06-20,opus,464,477679,663803,4815848,86296049,92.2305
2026-06-20,other,2,0,0,0,0,0.0000
2026-06-21,opus,188,133696,263556,853016,20861294,23.0194
2026-06-21,other,25,209926,10306,0,3040640,0.0000
2026-06-21,sonnet,1,3,6,10034,17907,0.0431
2026-06-22,opus,91,76049,155843,488972,9012953,11.8389
