date,model_family,messages,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cost_usd
2026-07-07,opus,363,340097,281697,2355285,53314484,50.1207
2026-07-07,other,24,0,0,0,0,0.0000
2026-07-08,opus,1026,405183,931174,7535173,244571313,194.6858
2026-07-08,other,14,0,0,0,0,0.0000
2026-07-09,fable,292,79370,172677,3614937,113857553,168.4718
2026-07-09,opus,1359,1363663,169009,39171087,520083570,515.9046
2026-07-09,other,14,0,0,0,0,0.0000
2026-07-10,fable,91,42834,61526,1027447,31926375,48.2741
2026-07-10,haiku,483,3999,11201,4010309,52230346,10.2959
2026-07-10,opus,2711,1116960,1788333,25876766,649764595,536.9052
2026-07-10,other,6,0,0,0,0,0.0000
2026-07-10,sonnet,635,392723,86098,6161900,133233236,65.5467
2026-07-11,haiku,496,4016,18927,2603037,52067265,8.5592
2026-07-11,opus,4561,266870,3704714,24865010,1304977675,901.8474
2026-07-11,other,2,0,0,0,0,0.0000
2026-07-11,sonnet,1495,609978,249826,15616063,767094155,294.2658
2026-07-12,opus,1600,21857,972406,7040288,430699432,283.7710
2026-07-12,other,2,0,0,0,0,0.0000
2026-07-13,opus,25,135,18901,385657,5298950,5.5330
2026-07-14,opus,109,201,133343,794896,16074362,16.3399
2026-07-15,opus,286,518,329064,2992450,87341796,70.6029
2026-07-15,other,2,0,0,0,0,0.0000
2026-07-16,fable,865,1653,426219,2008254,305530149,351.9608
2026-07-16,opus,547,1019,382447,8503284,206140593,165.7821
2026-07-17,fable,1131,2138,518542,7103504,325052438,439.7947
2026-07-17,opus,223,4050,138428,1429059,38242013,31.5336
2026-07-17,other,21,0,0,0,0,0.0000
2026-07-18,fable,533,2218,340041,3997192,96943152,163.9323
2026-07-18,opus,166,323,97375,1567463,60059341,42.2623
2026-07-18,other,10,0,0,0,0,0.0000
2026-07-19,fable,200,374,89114,855874,29758659,44.9165
2026-07-19,opus,22,37,15479,109855,731036,1.4393
2026-07-19,other,1,0,0,0,0,0.0000
2026-07-20,fable,60,112,44048,491338,6191447,14.5367
2026-07-21,fable,5,9,4671,178707,696039,3.1635
2026-07-25,fable,2092,4502,1139927,5462174,558392826,683.7114
2026-07-25,opus,296,3644,167873,2328678,16181388,26.8600
2026-07-26,fable,154,295,63646,816425,19374973,32.7655
2026-07-26,opus,21,36,12821,157527,758178,1.6843
2026-07-27,opus,64,110,38275,443728,3142275,5.3019
2026-07-27,sonnet,459,918,246538,1717426,188535979,66.7020
2026-07-28,fable,117,230,121058,310303,22090859,32.0248
2026-07-28,opus,3106,11869,1594677,10720513,766421315,490.1401
2026-07-28,other,4,0,0,0,0,0.0000
2026-07-28,sonnet,107,213,47537,374004,13652352,6.2119
2026-07-29,opus,2375,5913,1325175,19392582,756548213,532.6367
2026-07-29,other,27,0,0,0,0,0.0000
2026-07-29,sonnet,8,16,2084,706772,1747231,3.2059
2026-07-30,opus,2181,4107,1361278,15100998,675356428,466.1119
2026-07-30,other,5,0,0,0,0,0.0000
2026-07-31,opus,3273,9874,1990077,11509545,776634951,510.0534
2026-07-31,other,3,0,0,0,0,0.0000
2026-08-01,opus,3319,6337,1866340,13815086,1010943267,638.5061
2026-08-01,other,4,0,0,0,0,0.0000
2026-08-02,opus,4931,11958,2778876,23930993,2092272251,1265.2365
2026-08-02,other,9,0,0,0,0,0.0000
2026-08-03,opus,4001,10671,2130712,16117829,1446761824,877.4385
2026-08-03,other,7,0,0,0,0,0.0000
2026-08-04,haiku,41,342,8423,63622,2275133,0.3495
2026-08-04,opus,1397,2673,825832,7307323,590545586,361.6027
2026-08-04,other,1,0,0,0,0,0.0000
2026-08-05,haiku,15,134,3179,188214,715967,0.3229
2026-08-05,opus,4092,8038,2493584,19928079,1380510075,877.1853
2026-08-05,other,3,0,0,0,0,0.0000
2026-08-06,opus,3237,21096,1923437,14271178,1164341360,719.5569
2026-08-06,other,3,0,0,0,0,0.0000
2026-08-07,opus,360,681,248126,2800324,114903709,81.1604
2026-08-07,other,1,0,0,0,0,0.0000
